epochs HTR01 HTR02 HTR03 HTR04 HTR05 HTR06 HTR07 HTR08 HTR09
22.0 0.9964904378643777 0.9963395431627472 0.9962577951561381 0.9963217342417717 0.9961277042948247 0.9961222196459053 0.9964257119806977 0.9965255999514334 0.9967133253299009
23.0 0.9982680445476123 0.998276385119477 0.9984196473157656 0.9982793996577619 0.9981169515066908 0.9980315947505272 0.9978991710119818 0.9980099387862179 0.9986219387933634
24.0 0.9980684026657617 0.9980199978327723 0.9980344612199176 0.9980189226311352 0.9979668097176683 0.9978201380687046 0.9978519532652765 0.9980289047860349 0.9980071610920292
25.0 0.9972948938864602 0.9976081657861713 0.9941444881546562 0.9950009432910857 0.9936104688323704 0.9926928460033304 0.9868011633610345 0.9918501564429855 0.9959280505590185
26.0 0.9924318760095041 0.9922296742861115 0.992098307646836 0.9920482052066233 0.9922239435039868 0.9926170043670673 0.9923555297265548 0.9920273477738311 0.9916164675678376
27.0 0.9987479377526683 0.9987614122301852 0.9989039065331821 0.998920706468493 0.9989499024867825 0.9989664931726833 0.9990792623743676 0.9989659044724103 0.9988235492753035
28.0 0.9970410150022159 0.9971331289011921 0.9971414331825407 0.9971153442755605 0.9972527555072452 0.9973232074626781 0.9972989991653078 0.997074580664371 0.9967413722591623
29.0 0.9972777090018895 0.9974066893976354 0.9964847081951224 0.9965946493624492 0.9961762580294169 0.9958923554089174 0.9963852867651236 0.9969219885441197 0.9983881133292307
30.0 0.9993007593359314 0.999295782951904 0.9988363570261264 0.9988362752312346 0.998785459627605 0.9989963402509431 0.9990610250924569 0.9994735659115532 0.9992404722470525
31.0 0.9921378291664531 0.9919956439042628 0.9940935986943055 0.9944138322581664 0.9944961990040171 0.9944223130840094 0.9947331515603326 0.9946262349001992 0.9894340565663375
32.0 0.9977037707046251 0.9974954311268833 0.9970437864555071 0.9975024120564898 0.9977562980104054 0.9977968050130841 0.9976315567938332 0.997780363169765 0.9974211810914757
33.0 0.9910531468803874 0.9919757366030726 0.9925935216148847 0.9906347886012998 0.9922348156983429 0.9909928725227336 0.988218772178228 0.9929200324596047 0.9917025542107437
34.0 0.9952027503563164 0.9958724147210782 0.995686283962768 0.9958019228146231 0.9961525453316257 0.9961950475461206 0.994527050083172 0.9936128985128828 0.9930151915863482
35.0 0.9978360018369709 0.9970349714776431 0.9973813001309086 0.9969616077419504 0.9974974381003477 0.9966470032180987 0.995691876054165 0.9963652731494443 0.9974032065508455
36.0 0.9967971060564611 0.9965881338527017 0.9958920487482819 0.9960718055680442 0.9961186019623296 0.9966196524240492 0.9959552531416228 0.9957905548169371 0.9956325734862453
37.0 0.9972236178469626 0.9969720328851188 0.9897044201557278 0.9925628652567074 0.9932213724100089 0.9931443251696245 0.9900658612042762 0.9916845334968225 0.9967339245637241
38.0 0.9966046323862751 0.9909160132599156 0.9967912756286917 0.9946276541282847 0.9910398362351498 0.9937383156295428 0.9943525578258966 0.9856540966938521 0.9957727993624411
39.0 0.9925602132032522 0.9899934070055671 0.9968347527960143 0.9970333117910875 0.9901269796426057 0.9897755809832937 0.9880223547143978 0.9928916998990635 0.9986726183208882
40.0 0.9971231562013582 0.9964813249310154 0.9960183807518723 0.9974917642064668 0.9968927683339774 0.996284194976439 0.9951253646819431 0.9939410954065511 0.9942737496484098
41.0 0.9891716458011195 0.9883621275601001 0.9968789929814987 0.9969360938628166 0.997444201068353 0.9964950868670303 0.9928050152387021 0.9900218463462329 0.9922628741176285
42.0 0.9729902638230395 0.9799187201077212 0.9872305243745298 0.9823721777783851 0.980693058771303 0.9819985364948755 0.9840270873657914 0.9792706507929406 0.9869694047917574
43.0 0.9911744157319056 0.9926800500123044 0.9934204023973094 0.9938349827670712 0.9945006528545629 0.9942784312319354 0.9931098995865436 0.9890311913016011 0.9984433867426178
44.0 0.9947339014318263 0.9955306772879311 0.9971932392156548 0.9961253579009868 0.9961905241515319 0.9960996433020302 0.9962811906932095 0.9960099544061762 0.9977210236388535
45.0 0.9896904528060817 0.987726112900656 0.9900790419442631 0.9882907238632983 0.9887640507731875 0.9888388918812568 0.9902927525600553 0.9909865010906372 0.9835806441378977
46.0 0.9859664493330221 0.9735966741229125 0.9745965426190629 0.9748056251793873 0.9863308969344527 0.9939334491464037 0.9967558043011746 0.9964277725614493 0.9944928142252687
47.0 0.9958356507597629 0.9948388254671587 0.9946641605434061 0.9940253184344515 0.993838252005359 0.9941510192671329 0.9941482274508621 0.9929512115289391 0.9952698921723017
48.0 0.9980288323749019 0.9980118594484629 0.9978100990679377 0.9979258132874345 0.9979278181503611 0.9979297525349291 0.9980046343583318 0.9979660930925335 0.9980653573407153
49.0 0.9973541632553065 0.9977403781994714 0.9983172794134937 0.9978287542680285 0.9977609040579737 0.9976162320707046 0.9976226983291773 0.9977299263837263 0.9982313784915338
50.0 0.9899270037696748 0.987168817433713 0.9668909567842143 0.9680080612417157 0.992424439423729 0.993474546966498 0.9946430397506058 0.9949381824013579 0.9986831728950424
51.0 0.9965590081826656 0.9970715592933275 0.9955123775307456 0.9958921806700296 0.995570667227698 0.9948969488389199 0.995418807459211 0.9972192931735415 0.9985519094252608
52.0 0.998660967261441 0.9986591617057826 0.9986618893964571 0.9984810067297238 0.9983542307427644 0.9982363482148087 0.9981277464370166 0.9981395253838955 0.9985428740802667
